No.,ソース,通貨ペア,エントリー時刻,エグジット時刻,方向,エントリー価格,エグジット価格,Pips差,エントリーBID,エントリーASK,エグジットBID,エグジットASK,エントリースプレッド,エグジットスプレッド,取得時刻,スコア
50,最大利益 終日版⑤,EURJPY,16:48:00,16:58:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T12:00:32.565607,
51,時間効率重視 日中版⑦,EURJPY,16:51:00,16:56:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:52.300471,
52,entrypoints⑥,CHFJPY,17:17:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:58:40.345432,7.87
53,利益効率（Hatch検証）日中版⑦,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:58:54.656618,
54,利益効率（Hatch検証）⑤,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:05.997400,
55,勝率重視（ぶりんださん検証） 日中版⑨,CHFJPY,17:19:00,17:31:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:25.857984,
56,勝率重視（ぶりんださん検証）⑥,CHFJPY,17:19:00,17:31:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:36.376606,
57,時間効率重視 日中版⑧,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:53.697605,
58,時間効率重視 終日版⑥,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:05.148479,
59,最大利益 日中版⑦,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:20.917024,
60,最大利益 終日版⑥,CHFJPY,17:19:00,17:29:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:34.023577,
